,player_name,rank,battle_count,won,lost,tie,points,total_score,total_enemy_score,mean_score,mean_enemy_score,killed_all_enemy_units,all_units_died,wins_as_player_1,wins_as_player_2
0,AttackWeakestPlanetFromStrongestBot,1,2,2,0,0,2.0,10643.0,1330.0,5321.5,665.0,0,0,1,1
1,AttackWeakestPlanetFromStrongestSmarterNumOfShipsBot,2,2,0,2,0,0.0,1330.0,10643.0,665.0,5321.5,0,0,0,0
